collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
AIP,PMC7112555,2020/04/02,2007,Appl Phys Lett,American Institute of Physics,NA,0003-6951/2007/91(5)/054107/3/ $23.00
AIP,PMC7110918,2020/04/01,2009,J Math Phys,American Institute of Physics,NA,0022-2488/2009/50(3)/033514/9/ $25.00
AIP,PMC7108780,2020/04/01,2016,AIP Conf Proc,AIP Publishing LLC,NA,0094-243X/2016/1716/020010/7/ $30.00
AIP,PMC7108774,2020/04/01,2012,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108773,2020/04/01,2010,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108771,2020/04/01,2010,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108770,2020/04/01,2009,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108768,2020/04/01,2007,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108767,2020/04/01,2006,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108766,2020/04/01,2005,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108765,2020/04/01,2005,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7239332,2020/05/20,2020,Phys Fluids (1994),AIP Publishing LLC,NA,Published under license by AIP Publishing.
AIP,PMC7110924,2020/04/01,2015,Am J Phys,American Association of Physics Teachers,NA,0002-9505/2015/83(5)/468/7/ $30.00
AIP,PMC7108779,2020/04/01,2015,AIP Conf Proc,AIP Publishing LLC,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108778,2020/04/01,2015,AIP Conf Proc,AIP Publishing LLC,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108777,2020/04/01,2012,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108776,2020/04/01,2012,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108775,2020/04/01,2011,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108772,2020/04/01,2010,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108769,2020/04/01,2008,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108764,2020/04/01,2005,AIP Conf Proc,American Institute of Physics,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108763,2020/04/01,2004,Comput Sci Eng,IEEE Computer Society,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
AIP,PMC7108762,2020/04/01,2010,Comput Sci Eng,IEEE Computer Society,"
http://creativecommons.org/licenses/by/4.0/","All article content, except where otherwise noted, is licensed under a Creative
Commons Attribution (CC BY) license ( 
http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/ ). "
