collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
IOP,PMC7149660,2020/04/13,2020,,"Uspekhi Khimii, Russian Academy of Sciences and Turpion Ltd.",NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7115748,2020/04/03,2007,J Phys D Appl Phys,Institute of Physics,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for the
duration of the World Health Organization (WHO) declaration of COVID-19 as a
global pandemic."
IOP,PMC7106559,2020/04/03,2019,J Electrochem Soc,The Electrochemical Society,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7105153,2020/04/03,2019,J Phys Conf Ser,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7105149,2020/04/03,2013,J Electrochem Soc,The Electrochemical Society,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104913,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104912,2020/04/03,2017,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104907,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104906,2020/04/03,2017,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104887,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104866,2020/04/03,2017,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
