collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
SAGE,PMC7277418,2020/06/08,2020,J Investig Med High Impact Case Rep,SAGE Publications,https://creativecommons.org/licenses/by-nc/4.0/,"This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License ( https://creativecommons.org/licenses/by-nc/4.0/ uri https://creativecommons.org/licenses/by-nc/4.0/ ) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7270573,2020/06/04,2020,Home Health Care Manag Pract,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons
Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits
any use, reproduction and distribution of the work without further
permission provided the original work is attributed as specified on the SAGE
and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7270571,2020/06/04,2020,Int J Soc Psychiatry,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons
Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits
any use, reproduction and distribution of the work without further
permission provided the original work is attributed as specified on the SAGE
and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7267744,2020/06/03,2020,Otolaryngol Head Neck Surg,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7267742,2020/06/03,2020,Otolaryngol Head Neck Surg,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7265098,2020/06/02,2020,Eur J Ophthalmol,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7265097,2020/06/02,2020,Am J Med Qual,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7262737,2020/06/01,2020,Can J Kidney Health Dis,SAGE Publications,https://creativecommons.org/licenses/by-nc/4.0/,"This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License ( https://creativecommons.org/licenses/by-nc/4.0/ uri https://creativecommons.org/licenses/by-nc/4.0/ ) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7256487,2020/05/29,2020,Res Ethics,SAGE Publications,https://creativecommons.org/licenses/by-nc/4.0/,"This article is distributed under the terms of the Creative Commons
Attribution-NonCommercial 4.0 License ( https://creativecommons.org/licenses/by-nc/4.0/ uri https://creativecommons.org/licenses/by-nc/4.0/ ) which
permits non-commercial use, reproduction and distribution of the work
without further permission provided the original work is attributed as
specified on the SAGE and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7256486,2020/05/29,2020,J Diabetes Sci Technol,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons
Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits
any use, reproduction and distribution of the work without further
permission provided the original work is attributed as specified on the SAGE
and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7251625,2020/05/27,2020,Foot Ankle Int,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7251622,2020/05/27,2020,J Intensive Care Soc,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7248682,2020/05/26,2020,J Humanist Psychol,SAGE Publications,https://creativecommons.org/licenses/by/4.0/,"This article is distributed under the terms of the Creative Commons
Attribution 4.0 License ( https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/ ) which permits
any use, reproduction and distribution of the work without further
permission provided the original work is attributed as specified on the SAGE
and Open Access page ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
SAGE,PMC7243081,2020/05/22,2019,SLAS Discov,SAGE Publications,http://www.creativecommons.org/licenses/by-nc/4.0/,"This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License ( http://www.creativecommons.org/licenses/by-nc/4.0/ uri http://www.creativecommons.org/licenses/by-nc/4.0/ ) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages ( https://us.sagepub.com/en-us/nam/open-access-at-sage uri https://us.sagepub.com/en-us/nam/open-access-at-sage )."
