collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
AOSIS,PMC8111706,2021/05/12,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8111705,2021/05/12,2021,S Afr J Infect Dis,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8063497,2021/04/29,2021,South Afr J HIV Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8063496,2021/04/29,2021,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8007986,2021/04/01,2021,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8007987,2021/04/01,2021,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7669940,2020/11/19,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7670026,2020/11/19,2020,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7670029,2020/11/19,2020,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7674376,2020/11/19,2020,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7674377,2020/11/19,2020,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564848,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7565662,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564763,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7567180,2020/10/22,2020,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7567179,2020/10/22,2020,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564680,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564996,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564671,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7564931,2020/10/22,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7577338,2020/10/30,2020,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7479359,2020/09/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7479422,2020/09/14,2020,Afr J Disabil,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7479416,2020/09/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7479414,2020/09/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433226,2020/08/21,2020,South Afr J HIV Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433263,2020/08/21,2020,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433242,2020/08/21,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433230,2020/08/21,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433289,2020/08/21,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7433220,2020/08/21,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7343917,2020/07/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7343949,2020/07/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7577341,2020/10/30,2020,S Afr J Infect Dis,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7343955,2020/07/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7577345,2020/10/30,2020,S Afr J Infect Dis,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7577340,2020/10/30,2020,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7343922,2020/07/14,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7284162,2020/06/15,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7284160,2020/06/15,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC7284159,2020/06/15,2020,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
