collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
IEEE,PMC8118690,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8118689,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8118688,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8112671,2021/05/18,2021,IEEE Pulse,IEEE,NA,NA
IEEE,PMC8112670,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8112669,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8112667,2021/05/18,2021,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8104253,2021/05/10,2020,IEEE Trans Reliab,IEEE,NA,NA
IEEE,PMC8098810,2021/05/10,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8051310,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8051309,2021/04/28,2020,IEEE Trans Eng Manag,IEEE,NA,NA
IEEE,PMC8051308,2021/04/28,2020,IEEE Trans Med Imaging,IEEE,NA,NA
IEEE,PMC8043565,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043509,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043507,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043506,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043505,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043504,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043503,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043502,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043501,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043500,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043499,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043498,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043497,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043496,2021/04/28,2020,IEEE Robot Autom Lett,IEEE,NA,NA
IEEE,PMC8043495,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043494,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043493,2021/04/28,2020,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8043492,2021/04/28,2020,IEEE Open J Eng Med Biol,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
