collection,pmcid,pmc_live_date,pubyear,journal,publisher,license_url,license_text
UTORONTO,PMC8091653,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC8091651,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC8091650,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC8091649,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC8091648,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC8091647,2021/05/11,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC7977000,2021/04/07,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC7976854,2021/04/07,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC7976853,2021/04/07,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC7976852,2021/04/07,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC7971424,2021/04/07,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
