collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
AOSIS,PMC8517702,10.4102/safp.v63i1.5344,2021/10/15,2021,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517701,10.4102/sajip.v47i0.1865,2021/10/15,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517700,10.4102/aveh.v80i1.652,2021/10/15,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517699,10.4102/ajcd.v3i1.42,2021/10/15,2021,,AOSIS OpenJournals,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517694,10.4102/hsag.v26i0.1682,2021/10/15,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517698,10.4102/sajip.v47i0.1863,2021/10/15,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517697,10.4102/phcfm.v13i1.3002,2021/10/15,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517696,10.4102/jamba.v13i1.1115,2021/10/15,2021,Jamba,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517695,10.4102/ajopa.v3i0.74,2021/10/15,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517693,10.4102/hsag.v26i0.1652,2021/10/15,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8517658,10.4102/ajlm.v10i1.1317,2021/10/15,2021,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8424716,10.4102/phcfm.v13i1.3016,2021/09/08,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8424715,10.4102/safp.v63i1.5334,2021/09/08,2021,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8424714,10.4102/safp.v63i1.5375,2021/09/08,2021,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335795,10.4102/ajopa.v3i0.57,2021/08/09,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335794,10.4102/sajip.v47i0.1853,2021/08/09,2021,,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335793,10.4102/safp.v63i1.5226,2021/08/09,2021,S Afr Fam Pract (2004),AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335792,10.4102/safp.v63i1.5285,2021/08/09,2021,S Afr Fam Pract (2004),AOSIS OpenJournals,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335789,10.4102/ajlm.v10i1.1264,2021/08/09,2021,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335788,10.4102/ajlm.v10i1.1040,2021/08/09,2021,Afr J Lab Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335787,10.4102/sajcd.v68i1.832,2021/08/09,2021,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335786,10.4102/phcfm.v13i1.2819,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335785,10.4102/sajhivmed.v22i1.1234,2021/08/09,2021,South Afr J HIV Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335784,10.4102/phcfm.v13i1.2833,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335783,10.4102/hsag.v26i0.1605,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335782,10.4102/hsag.v26i0.1618,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335781,10.4102/sajcd.v68i1.831,2021/08/09,2021,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335780,10.4102/ajod.v10i0.697,2021/08/09,2021,Afr J Disabil,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335779,10.4102/hsag.v26i0.1559,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335778,10.4102/ojvr.v88i1.1950,2021/08/09,2021,Onderstepoort J Vet Res,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335777,10.4102/jamba.v13i1.1102,2021/08/09,2021,Jamba,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335776,10.4102/phcfm.v13i1.2998,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335775,10.4102/sajhivmed.v22i1.1257,2021/08/09,2021,South Afr J HIV Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335774,10.4102/curationis.v44i1.2092,2021/08/09,2021,Curationis,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335773,10.4102/sajcd.v68i1.798,2021/08/09,2021,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335772,10.4102/phcfm.v13i1.2852,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335771,10.4102/jamba.v13i1.1042,2021/08/09,2021,Jamba,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335770,10.4102/hsag.v26i0.1558,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335769,10.4102/phcfm.v13i1.3045,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335768,10.4102/sajcd.v68i1.794,2021/08/09,2021,S Afr J Commun Disord,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335767,10.4102/ajod.v10i0.800,2021/08/09,2021,Afr J Disabil,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335766,10.4102/hsag.v26i0.1507,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335765,10.4102/ojvr.v88i1.1951,2021/08/09,2021,Onderstepoort J Vet Res,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335764,10.4102/ajod.v10i0.792,2021/08/09,2021,Afr J Disabil,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335763,10.4102/hsag.v26i0.1560,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335762,10.4102/ojvr.v88i1.1949,2021/08/09,2021,Onderstepoort J Vet Res,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335761,10.4102/hsag.v26i0.1549,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335760,10.4102/phcfm.v13i1.2934,2021/08/09,2021,Afr J Prim Health Care Fam Med,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335759,10.4102/hsag.v26i0.1561,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
AOSIS,PMC8335758,10.4102/hsag.v26i0.1594,2021/08/09,2021,Health SA,AOSIS,NA,Licensee: AOSIS. This work is licensed under the Creative Commons Attribution License.
