collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
IOP,PMC7351243,10.1088/0256-307X/37/5/058701,2020/07/10,2020,,Chinese Physical Society and IOP Publishing Ltd,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7350573,10.1088/1757-899X/862/4/042037,2020/07/10,2020,IOP Conf Ser Mater Sci Eng,IOP Publishing,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7350772,10.1088/1752-7163/ab8a55,2020/07/10,2020,J Breath Res,IOP Publishing,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7351116,10.1088/1674-1056/ab7dac,2020/07/10,2020,Chin Phys B,Chinese Physical Society and IOP Publishing Ltd,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7350608,10.1088/1755-1315/474/7/072047,2020/07/10,2020,IOP Conf Ser Earth Environ Sci,IOP Publishing,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7347244,10.1088/1742-6596/1518/1/012041,2020/07/10,2020,J Phys Conf Ser,IOP Publishing,NA,"This article is made available via the PMC Open Access Subset for
unrestricted research re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the World Health Organization (WHO) declaration of COVID-19
as a global pandemic."
IOP,PMC7149660,10.1070/RCR4892,2020/04/13,2020,,"Uspekhi Khimii, Russian Academy of Sciences and Turpion Ltd.",NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7105107,10.1088/1361-6528/ab5bc8,2020/04/03,2020,Nanotechnology,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7106559,10.1149/2.0232003JES,2020/04/03,2019,J Electrochem Soc,The Electrochemical Society,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7105153,10.1088/1742-6596/1294/6/062097,2020/04/03,2019,J Phys Conf Ser,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7106772,10.1088/1742-6596/1218/1/012031,2020/04/03,2019,J Phys Conf Ser,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7106774,10.1088/1361-6463/ab1466,2020/04/03,2019,J Phys D Appl Phys,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7106764,10.1088/1752-7163/aaf010,2020/04/03,2019,J Breath Res,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104910,10.1088/1361-648X/aac57a,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104739,10.1088/1361-648X/aabc21,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7100389,10.1088/1361-648X/aab99a,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104908,10.1088/1361-648X/aab4a9,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC7104907,10.1088/1361-648X/aab0c6,2020/04/03,2018,J Phys Condens Matter,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
IOP,PMC5912890,10.1088/1752-7163/aa9eef,2019/03/01,2018,J Breath Res,IOP Publishing,NA,This article is made available via the PMC Open Access Subset for unrestricted research re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.
