collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
WK,PMC8552912,10.1097/BRS.0000000000004204,2021/10/28,2021,Spine (Phila Pa 1976),Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549134,10.1097/TP.0000000000003908,2021/10/27,2021,Transplantation,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549132,10.1097/SCS.0000000000007753,2021/10/27,2021,J Craniofac Surg,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549131,10.1097/SCS.0000000000008231,2021/10/27,2021,J Craniofac Surg,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549129,10.1097/MEJ.0000000000000878,2021/10/27,2021,Eur J Emerg Med,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549125,10.1097/SCS.0000000000008172,2021/10/27,2021,J Craniofac Surg,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549123,10.1097/SCS.0000000000007826,2021/10/27,2021,J Craniofac Surg,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549122,10.1097/TP.0000000000003889,2021/10/27,2021,Transplantation,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549121,10.1097/TP.0000000000003910,2021/10/27,2021,Transplantation,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8549119,10.1097/TP.0000000000003900,2021/10/27,2021,Transplantation,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8547588,10.1161/STROKEAHA.120.033657,2021/10/26,2021,Stroke,Lippincott Williams & Wilkins,Creative Commons Attribution,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited."
WK,PMC8547586,10.1161/STROKEAHA.121.035045,2021/10/26,2021,Stroke,Lippincott Williams & Wilkins,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
WK,PMC8547585,10.1161/STROKEAHA.120.032650,2021/10/26,2021,Stroke,Lippincott Williams & Wilkins,Creative Commons Attribution Non-Commercial-NoDerivs,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made."
WK,PMC8547583,10.1161/STROKEAHA.120.033124,2021/10/26,2021,Stroke,Lippincott Williams & Wilkins,Creative Commons Attribution,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited."
