collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
ASME,PMC7164496,10.1115/1.4046120,2020/04/20,2020,J Med Device,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164509,10.1115/1.4046046,2020/04/20,2020,J Med Device,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164506,10.1115/1.4045910,2020/04/20,2020,J Med Device,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164504,10.1115/1.4045933,2020/04/20,2020,J Med Device,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7141576,10.1115/1.4042775,2020/04/08,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for
unrestricted re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the COVID-19 pandemic or until permissions are revoked in
writing. Upon expiration of these permissions, PMC is granted a perpetual
license to make this article available via PMC and Europe PMC, consistent
with existing copyright protections."
ASME,PMC7164500,10.1115/1.4042478,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,2572-7958/2019/2(1)/011005/6/ $25.00
ASME,PMC7164492,10.1115/1.4042477,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164502,10.1115/1.4042479,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for
unrestricted re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the COVID-19 pandemic or until permissions are revoked in
writing. Upon expiration of these permissions, PMC is granted a perpetual
license to make this article available via PMC and Europe PMC, consistent
with existing copyright protections."
ASME,PMC6467295,10.1115/1.4042312,2019/04/16,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,2572-7958/2019/2(1)/011003/9/ $25.00
ASME,PMC7164499,10.1115/1.4042317,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164501,10.1115/1.4042318,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,2572-7958/2019/2(1)/010803/6/ $25.00
ASME,PMC7164508,10.1115/1.4042313,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,2572-7958/2019/2(1)/010801/5/ $25.00
ASME,PMC7164505,10.1115/1.4042309,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for unrestricted re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
ASME,PMC7164503,10.1115/1.4042308,2020/04/20,2019,J Eng Sci Med Diagn Ther,American Society of Mechanical Engineers,NA,2572-7958/2019/2(1)/011001/8/ $25.00
ASME,PMC7164498,10.1115/1.4040187,2020/04/20,2018,J Med Device,American Society of Mechanical Engineers,NA,"This article is made available via the PMC Open Access Subset for
unrestricted re-use and analyses in any form or by any means with
acknowledgement of the original source. These permissions are granted for
the duration of the COVID-19 pandemic or until permissions are revoked in
writing. Upon expiration of these permissions, PMC is granted a perpetual
license to make this article available via PMC and Europe PMC, consistent
with existing copyright protections."
