collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
IEEE,PMC9377793,10.1109/EMR.2020.3029850,2022/08/15,2020,,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9328729,10.1109/TSC.2021.3061402,2022/08/01,2021,IEEE Trans Serv Comput,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9328728,10.1109/TCBB.2021.3058265,2022/08/01,2021,IEEE/ACM Trans Comput Biol Bioinform,IEEE,https://www.ieee.org/publications/rights/index.html,"Personal use is permitted, but republication/redistribution requires IEEE permission.
See  https://www.ieee.org/publications/rights/index.html uri https://www.ieee.org/publications/rights/index.html  for more information."
IEEE,PMC9280817,10.1109/MPRV.2020.3021321,2022/08/01,2020,IEEE Pervasive Comput,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9280812,10.1109/MPRV.2021.3068183,2022/08/01,2021,IEEE Pervasive Comput,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9280810,10.1109/MCSE.2020.3040700,2022/08/01,2020,Comput Sci Eng,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9280807,10.1109/MCSE.2020.3009765,2022/08/01,2020,Comput Sci Eng,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9280799,10.1109/MCSE.2020.3024062,2022/08/01,2020,Comput Sci Eng,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9280798,10.1109/MPRV.2020.3044072,2022/08/01,2021,IEEE Pervasive Comput,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768963,10.1109/JIOT.2020.3037915,2022/08/01,2020,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC9295914,10.1109/MCSE.2020.3036586,2022/07/28,2020,Comput Sci Eng,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8791443,10.1109/JSEN.2021.3076767,2022/06/29,2021,IEEE Sens J,IEEE,https://www.ieee.org/publications/rights/index.html,"Personal use is permitted, but republication/redistribution requires IEEE permission.
See  https://www.ieee.org/publications/rights/index.html uri https://www.ieee.org/publications/rights/index.html  for more information."
IEEE,PMC8791435,10.1109/JSEN.2021.3076102,2022/06/29,2021,IEEE Sens J,IEEE,https://www.ieee.org/publications/rights/index.html,"Personal use is permitted, but republication/redistribution requires IEEE permission.
See  https://www.ieee.org/publications/rights/index.html uri https://www.ieee.org/publications/rights/index.html  for more information."
IEEE,PMC8769035,10.1109/TCBB.2021.3085972,2022/06/29,2021,IEEE/ACM Trans Comput Biol Bioinform,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769020,10.1109/JSEN.2021.3085084,2022/06/29,2021,IEEE Sens J,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8769019,10.1109/JSEN.2021.3109022,2022/06/29,2021,IEEE Sens J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769016,10.1109/TNSE.2021.3081759,2022/06/29,2021,IEEE Trans Netw Sci Eng,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769015,10.1109/TCBB.2021.3064630,2022/06/29,2021,IEEE/ACM Trans Comput Biol Bioinform,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769013,10.1109/TMI.2020.3001810,2022/06/29,2020,IEEE Trans Med Imaging,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
IEEE,PMC8769011,10.1109/TCBB.2021.3049836,2022/06/29,2021,IEEE/ACM Trans Comput Biol Bioinform,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769008,10.1109/JIOT.2021.3050775,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769002,10.1109/JIOT.2021.3055804,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8769001,10.1109/JSEN.2021.3072607,2022/06/29,2021,IEEE Sens J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768997,10.1109/JIOT.2020.3044966,2022/06/29,2020,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768993,10.1109/JSEN.2020.3040995,2022/06/29,2020,IEEE Sens J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768992,10.1109/JSEN.2021.3096641,2022/06/29,2021,IEEE Sens J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768991,10.1109/JSEN.2021.3068782,2022/06/29,2021,IEEE Sens J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768990,10.1109/JIOT.2021.3070042,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768988,10.1109/JIOT.2021.3067605,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768984,10.1109/JIOT.2021.3063549,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768983,10.1109/JIOT.2020.3034074,2022/06/29,2020,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768981,10.1109/JIOT.2020.3049024,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768980,10.1109/JIOT.2021.3051391,2022/06/29,2021,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768974,10.1109/JIOT.2020.3038631,2022/06/29,2020,IEEE Internet Things J,IEEE,NA,"This article is free to access and download, along with rights for full text and data mining, re-use and analysis."
IEEE,PMC8768956,10.1109/ACCESS.2021.3113812,2022/06/29,2021,IEEE Access,IEEE,https://creativecommons.org/licenses/by/4.0/,"This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see  https://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/"
