collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
JMIR,PMC9384847,10.2196/33713,2022/08/18,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9364421,10.2196/32935,2022/08/10,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9281514,10.2196/37134,2022/07/15,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9254747,10.2196/34231,2022/07/06,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9191554,10.2196/33833,2022/06/14,2022,JMIR Dermatol,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Dermatology Research, is properly cited. The complete bibliographic information, a link to the original publication on  http://derma.jmir.org http://derma.jmir.org uri , as well as this copyright and license information must be included."
JMIR,PMC9153293,10.2196/31955,2022/06/01,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9118581,10.2196/36215,2022/05/20,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9118542,10.2196/34228,2022/05/20,2022,JMIR Dermatol,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Dermatology Research, is properly cited. The complete bibliographic information, a link to the original publication on  http://derma.jmir.org http://derma.jmir.org uri , as well as this copyright and license information must be included."
JMIR,PMC9400429,10.2196/36210,2022/08/25,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9327499,10.2196/37007,2022/07/28,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9302578,10.2196/37517,2022/07/22,2022,JMIR Dermatol,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Dermatology Research, is properly cited. The complete bibliographic information, a link to the original publication on  http://derma.jmir.org http://derma.jmir.org uri , as well as this copyright and license information must be included."
JMIR,PMC9302570,10.2196/36100,2022/07/22,2022,JMIR Bioinform Biotech,JMIR Publications,http://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( http://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Bioinformatics and Biotechnology, is properly cited. The complete bibliographic information, a link to the original publication on  https://bioinform.jmir.org/ https://bioinform.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9239316,10.2196/37077,2022/06/29,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9168838,10.2196/30344,2022/06/06,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9158474,10.2196/37391,2022/06/02,2022,JMIR Bioinform Biotech,JMIR Publications,http://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( http://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Bioinformatics and Biotechnology, is properly cited. The complete bibliographic information, a link to the original publication on  https://bioinform.jmir.org/ https://bioinform.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9135098,10.2196/32859,2022/05/27,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9100310,10.2196/30167,2022/05/14,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9092950,10.2196/32335,2022/05/12,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9066383,10.2196/35014,2022/05/04,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9048188,10.2196/37271,2022/04/29,2022,JMIR Dermatol,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Dermatology Research, is properly cited. The complete bibliographic information, a link to the original publication on  http://derma.jmir.org http://derma.jmir.org uri , as well as this copyright and license information must be included."
JMIR,PMC9048139,10.2196/32401,2022/04/29,2022,JMIR Bioinform Biotech,JMIR Publications,http://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( http://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Bioinformatics and Biotechnology, is properly cited. The complete bibliographic information, a link to the original publication on  https://bioinform.jmir.org/ https://bioinform.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9048138,10.2196/35862,2022/04/29,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9092478,10.2196/30885,2022/05/12,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9031689,10.2196/35356,2022/04/23,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9014796,10.2196/33909,2022/04/19,2022,JMIR Infodemiology,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Infodemiology, is properly cited. The complete bibliographic information, a link to the original publication on  https://infodemiology.jmir.org/ https://infodemiology.jmir.org/ uri , as well as this copyright and license information must be included."
JMIR,PMC9007225,10.2196/30144,2022/04/14,2022,JMIRx Med,JMIR Publications,https://creativecommons.org/licenses/by/4.0/,"This is an open-access article distributed under the terms of the Creative Commons Attribution License ( https://creativecommons.org/licenses/by/4.0/ https://creativecommons.org/licenses/by/4.0/ uri ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIRx Med, is properly cited. The complete bibliographic information, a link to the original publication on  https://med.jmirx.org/ https://med.jmirx.org/ uri , as well as this copyright and license information must be included."
