collection,pmcid,doi,pmc_live_date,pubyear,journal,publisher,license_url,license_text
UTORONTO,PMC9404458,10.3138/cpp.2020-157,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400826,10.3138/cpp.2020-109,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400825,10.3138/cpp.2020-151,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400824,10.3138/cpp.2021-012,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400823,10.3138/cpp.2020-117,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400821,10.3138/cpp.2021-028,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9400820,10.3138/cpp.2020-101,2022/08/25,2020,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9395161,10.3138/cpp.2021-001,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9395157,10.3138/cpp.2021-022,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9395152,10.3138/cpp.2020-119,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
UTORONTO,PMC9395127,10.3138/cpp.2020-138,2022/08/25,2021,Can Public Policy,University of Toronto Press,NA,"This article is made available via the PMC Open Access Subset for reuse and analysis with acknowledgement of the original source. These permissions are granted for the duration of the COVID-19 pandemic or until permissions are revoked in writing. Upon expiration of these permissions, PMC is granted a perpetual license to make this article available via PMC and Europe PMC, consistent with existing copyright protections."
