pmcid,doi
PMC7123907,10.1021/acsomega.0c00772
PMC7128858,10.1016/s1360-1385(01)01922-7
PMC7127519,10.1016/j.femsle.2004.03.002
PMC7127004,10.1016/s0378-1097(00)00422-5
PMC7119411,10.1016/s0002-8177(14)65363-0
PMC7119383,10.1016/j.ajog.2006.05.016
PMC7119192,10.1016/s0034-5288(18)32472-x
PMC7131144,10.1016/s0248-4900(89)80008-5
PMC7128222,10.1016/s1470-0328(03)03008-8
PMC7127551,10.1016/j.coi.2013.09.014
PMC7127191,10.1016/s0378-1097(01)00090-8
PMC7125584,10.1016/s0168-6445(02)00096-7
PMC7119440,10.1016/s0003-9993(04)00676-8
PMC7119437,10.1016/s0003-9993(05)00437-5
PMC7273162,10.1016/j.cllc.2020.05.028
PMC7260051,10.1016/j.ijid.2008.05.810
PMC7260048,10.1016/j.ijid.2008.05.955
PMC7260047,10.1016/j.ijid.2010.02.1547
PMC7260045,10.1016/j.bbmt.2018.12.568
PMC7158372,10.1016/b978-2-294-76288-8.00007-8
PMC7156248,10.1016/s0924-2244(20)30426-x
PMC7260053,10.1016/j.bpg.2012.10.002
PMC7260052,10.1016/j.ijid.2008.05.251
PMC7260050,10.1016/j.ijid.2016.11.055
PMC7260049,10.1016/j.ijid.2008.05.877
PMC7260046,10.1016/j.ijid.2008.05.1306
PMC7260044,10.1016/j.antiviral.2008.01.126
PMC7149928,10.1016/b978-0-12-396492-2.09988-4
PMC7725654,10.1016/s0736-4679(20)31307-x
PMC7657647,10.1016/j.arbr.2020.06.012
PMC7448780,10.1016/j.drugpo.2020.102904
PMC7351655,10.1016/j.npg.2020.06.003
PMC8149269,10.1016/s1353-4858(21)00056-8
PMC8149268,10.1016/s1361-3723(21)00057-9
PMC8007186,10.1016/j.clnu.2021.03.033
PMC8046427,10.1016/j.semcancer.2021.01.003
PMC7834110,10.1016/j.jsurg.2020.12.013
PMC7834329,10.1016/j.jamda.2020.11.010
PMC8101770,10.1056/cat.21.0176
PMC8099139,10.1056/cat.21.0063
PMC8084256,10.1056/cat.21.0076
PMC8078825,10.1056/cat.21.0058
PMC8064414,10.1056/cat.21.0126
PMC8049384,10.1056/cat.21.0031
PMC8043419,10.1056/cat.21.0060
PMC8034764,10.1056/cat.20.0695
PMC8026087,10.1056/cat.21.0094
PMC8023503,10.1056/cat.21.0056
PMC8016146,10.1056/cat.21.0046
PMC8009456,10.1056/cat.20.0693
PMC8007035,10.1056/cat.21.0040
PMC7997054,10.1056/cat.21.0105
PMC7371299,10.1056/cat.20.0218
PMC7987204,10.1056/cat.21.0113
PMC7978396,10.1056/cat.21.0030
PMC7954361,10.1056/cat.20.0684
PMC7942972,10.1056/cat.20.0642
PMC7935202,10.1056/cat.21.0051
PMC7924814,10.1056/cat.21.0014
PMC7904234,10.1056/cat.20.0677
PMC7894978,10.1056/cat.21.0005
PMC7875443,10.1056/cat.21.0050
PMC7872312,10.1056/cat.20.0549
PMC7870034,10.1056/cat.21.0048
PMC7864479,10.1056/cat.20.0649
PMC7861472,10.1056/cat.20.0616
PMC7853609,10.1056/cat.20.0617
PMC7822402,10.1056/cat.20.0595
PMC7819632,10.1056/cat.21.0001
PMC7815184,10.1056/cat.20.0599
PMC7808705,10.1056/cat.20.0696
PMC7894747,10.1056/cat.21.0011
PMC7894746,10.1056/cat.21.0010
PMC7793438,10.1056/cat.20.0692
PMC7894745,10.1056/cat.21.0006
PMC7787419,10.1056/cat.20.0690
PMC7773210,10.1056/cat.20.0564
PMC7771726,10.1056/cat.20.0676
PMC7769372,10.1056/cat.20.0686
PMC7757847,10.1056/cat.20.0681
PMC7755230,10.1056/cat.20.0683
PMC7714258,10.1056/cat.20.0506
PMC7710161,10.1056/cat.20.0544
PMC7707618,10.1056/cat.20.0570
PMC7688207,10.1056/cat.20.0427
PMC7685528,10.1056/cat.20.0507
PMC7682755,10.1056/cat.20.0542
PMC7679061,10.1056/cat.20.0532
