pmcid,pmid
PMC7243369,32434946
PMC7239331,32414780
PMC7223722,32404477
PMC7199907,32358202
PMC7199903,32366695
PMC7199529,32350060
PMC7164679,32303590
PMC7164635,32132184
PMC7164555,32234805
PMC7164391,32245784
PMC7164390,32269068
PMC7164386,32144116
PMC7243363,32434945
PMC7223792,32404476
PMC7202686,32376603
PMC7200009,32371477
PMC7199908,32358203
PMC7179937,32321856
PMC7164637,32075877
PMC7164518,32198291
PMC7164482,32291278
PMC7164393,32253226
PMC7164392,32277040
PMC7164389,32234804
PMC7164388,32269067
PMC7164387,32179701
PMC7146642,32213647
PMC7665314,32826343
PMC7665313,32817357
PMC7665311,32817270
PMC7665310,32763915
PMC7574914,32753554
PMC7594018,32727884
PMC7574920,32719001
PMC7574913,32732280
PMC7574912,32753553
PMC7464562,32694201
PMC7402632,32661059
PMC7402631,32703906
PMC7402629,32690628
PMC7402626,32680881
PMC7402624,32669297
PMC7402623,32554754
PMC7402622,32703908
PMC7243362,32423996
PMC7319493,32591408
PMC7319274,32691011
PMC7319260,32571980
PMC7299284,32540901
PMC7299281,32540902
PMC7299279,32540900
PMC7292505,32527802
PMC7292504,32532802
PMC7292499,32527925
PMC7286545,32513865
PMC7285829,32404436
PMC7259824,32424018
PMC7259823,32471856
PMC7665841,32855215
PMC7665312,32788292
PMC7574915,32747425
PMC7402635,32651212
PMC7402634,32669287
PMC7402630,32703910
PMC7402628,32694200
PMC7402627,32661058
PMC7402625,32616673
PMC7402621,32680882
PMC7331793,32576668
PMC7319273,32571838
PMC7299283,32540904
PMC7299280,32540903
PMC7292500,32527928
PMC7286538,32513867
PMC7274761,32503877
PMC8158979,34446527
PMC8158975,34010139
PMC8158969,33858945
PMC8158965,33941622
PMC8158963,33941621
PMC8158961,33906968
PMC8158960,33979301
PMC8158959,33893241
PMC8139428,33853928
PMC8139427,33846272
PMC8139426,33758017
PMC8139425,33766944
PMC8139424,33727252
PMC8139423,33853970
PMC8139422,33827897
PMC8139421,33737402
PMC8128303,33653907
PMC8128299,33622974
PMC8128298,33692097
PMC8128293,33688063
PMC8128290,33622975
PMC8128288,33658326
PMC8128287,33688062
PMC8128286,33723016
PMC8128284,33723017
PMC8101272,33531384
PMC8101257,33478949
PMC8101131,33361161
PMC8099195,33619080
PMC8099176,33619081
PMC8099175,33602867
PMC8050952,33257409
PMC8050947,32958580
PMC8050884,33033173
PMC8011693,33597220
PMC7971772,33536258
PMC7971771,33514629
PMC7963221,33495307
PMC7963220,33495306
PMC7963219,33495308
PMC7963218,33479118
PMC7932109,33436526
PMC7932103,33436525
PMC7928838,33436524
PMC7928716,33436498
PMC7928535,33436497
PMC7875333,33431511
PMC7877493,33419936
PMC7919858,33408181
PMC7875332,33397677
PMC7919849,33361116
PMC7877496,33443036
PMC7877495,33323424
PMC7857412,33303686
PMC7857406,33293339
PMC7857415,33288661
PMC7857408,33288662
PMC7857392,33288645
PMC7857416,33234691
PMC7857413,33234698
PMC7857414,33229462
PMC7724273,33139519
PMC7775736,33184236
PMC7877494,33177105
PMC7857398,33172935
PMC7857411,33159009
PMC7920261,33154107
PMC7857409,33154106
PMC7857400,33154108
PMC7810037,33115920
PMC7857404,33082295
PMC7857391,33082293
PMC7808408,33060197
PMC7857396,33037066
PMC7857394,33033172
PMC7658796,32958614
PMC7857399,33154136
PMC7857405,32994364
PMC7857393,32989174
PMC7857407,32972995
PMC7857397,32972996
PMC7857395,32972994
PMC7857410,32958581
PMC7857390,32943497
PMC7810038,32912998
PMC7810035,32913002
PMC7857403,32907861
PMC8432955,34103408
PMC8432954,34131072
PMC8432953,34158411
PMC8432952,34158410
PMC8432951,34131052
PMC8432949,34230209
PMC8432948,34230210
PMC8432947,34035117
PMC8369496,34103407
PMC8284396,34016740
PMC8284311,33820835
PMC8224398,33664060
PMC8224385,33811162
PMC8224270,33906967
PMC8224265,33947773
PMC8168616,34016743
PMC8168615,34006597
PMC8168617,34029205
PMC8168614,33931567
PMC8168618,33927057
PMC7713907,33205993
PMC7711653,33226859
PMC7707230,33226855
PMC7707213,33205991
PMC7643168,33136427
PMC7598093,33105091
PMC7596739,33085507
PMC7596737,33105092
PMC7596735,33105094
PMC7592804,33085509
PMC7576470,33076692
PMC7573931,33076694
PMC7556654,33017175
PMC7530643,32960645
PMC7517131,32931328
PMC7516553,32956599
PMC7506769,32790510
PMC7505100,32449883
PMC7392144,32678685
PMC7384270,32673060
PMC7384265,32598162
PMC7384264,32551812
PMC7384263,32687391
PMC7377263,32667853
PMC7370832,32628536
PMC7357230,32551813
PMC7350552,32634024
PMC7346775,32574071
PMC7339038,32614640
PMC7322813,32551892
PMC7322811,32584593
PMC7322771,32543881
PMC7304657,32515983
PMC7298914,32515987
PMC7281716,32442035
PMC7281623,32496919
PMC7277487,32459528
PMC7277486,32491920
PMC7277485,32441991
PMC7277482,32453637
PMC7249560,32422062
PMC7249506,32422077
PMC7249504,32384135
PMC7240870,32422057
PMC7240772,32374815
PMC7233188,32379854
PMC7233185,32384139
PMC7233184,32422072
PMC7212823,32353106
PMC7197038,32343764
PMC7197036,32330235
PMC7179996,32298412
PMC7175424,32302380
PMC7175423,32282871
PMC7169475,32294152
PMC7156090,32282891
PMC7151353,32259191
PMC7147341,32267912
PMC7146593,32251512
PMC7143156,32259195
PMC7143152,32240282
PMC7143151,32236488
PMC7142987,32227239
PMC7137101,32227245
PMC7138407,32240283
PMC7138333,32240291
PMC7133055,32227141
PMC7081176,32176272
PMC7081171,32176257
PMC7081173,32163542
PMC7081177,32160273
PMC7081175,32160299
PMC7081172,32150748
PMC7081174,32120386
PMC7077751,32023340
PMC8112592,33900795
PMC8112582,33939486
PMC8108910,33900791
PMC8104088,33769829
PMC8099035,33844575
PMC8082524,33872046
PMC8082523,33900794
PMC8059415,33872044
PMC8033634,33819057
PMC8029592,33780289
PMC8025941,33780292
PMC8025940,33780290
PMC8017477,33780293
PMC8025942,33721517
PMC8017476,33721518
PMC8017475,33721515
PMC7974711,33683928
PMC7983313,33646843
PMC7983310,33646837
PMC7934337,33646849
PMC7934336,33646838
PMC7888050,33587685
PMC7983309,33560862
PMC7926185,33556269
PMC7926184,33556267
PMC7924623,33556277
PMC7901604,33560863
PMC7901603,33556268
PMC7893537,33556278
PMC7893536,33556273
PMC7888026,33556270
PMC7888025,33556271
PMC7888345,33524281
PMC7875210,33524294
PMC7871198,33524291
PMC7877798,33513035
PMC7875205,33493013
PMC7863679,33493012
PMC7847720,33493009
PMC7901673,33492990
PMC7839426,33481642
PMC7901669,33460330
PMC7839932,33460347
PMC7822569,33428446
PMC7822568,33428438
PMC7808439,33428437
PMC7808327,33428442
PMC7808440,33395338
PMC7808326,33395339
PMC7808325,33395334
PMC7791405,33395346
PMC7787166,33395345
PMC7774036,33370173
PMC7774035,33370171
PMC7901662,33347321
PMC7774775,33347319
PMC7774591,33347320
PMC7755069,33347322
PMC7901655,33316174
PMC7745118,33315470
PMC7737930,33315471
PMC7756243,33284682
PMC7747669,33284683
PMC7745119,33284684
PMC7741181,33284685
PMC7741180,33284676
PMC7732017,33284679
PMC7772883,33253040
PMC7729487,33253036
PMC7737236,33074704
PMC8524618,34662153
PMC8500336,34516272
PMC8496690,34606312
PMC8489677,34606321
PMC8513793,34633830
PMC8500335,34570597
PMC8496689,34606308
PMC8489676,34606318
PMC8462514,34543588
PMC8462513,34543587
PMC8442744,34516275
PMC8422997,34461034
PMC8407518,34461029
PMC8381772,34399059
PMC8381771,34280332
PMC8381761,34370517
PMC8381760,34328365
PMC8372837,34399060
PMC8372531,34399058
PMC8372032,34370512
PMC8343340,34338553
PMC8297419,34251904
PMC8296720,34280335
PMC8296719,34280334
PMC8280537,34251900
PMC8280535,34224254
PMC8279143,34251903
PMC8279142,34251905
PMC8276718,34224257
PMC8276272,34115532
PMC8265775,34224264
PMC8252842,34000201
PMC8252840,34097436
PMC8252839,34058111
PMC8252838,34029486
PMC8252833,34125574
PMC8252832,34058109
PMC8252831,34097432
PMC8252830,34029487
PMC8252829,34125576
PMC8252828,34029488
PMC8252827,34029484
PMC8252151,34097433
PMC8252136,33971099
PMC8252091,34125571
PMC8252088,34029483
PMC8252024,34125573
PMC8252023,34125572
PMC8252022,34125578
PMC8252021,34058107
PMC8252020,34125577
PMC8251937,34181441
PMC8251936,33971101
PMC8251935,34181446
PMC8244665,34181444
PMC7144807,32267678
PMC7107297,0
PMC7099725,27111122
PMC7099676,32202421
PMC7099673,32200634
PMC7098069,32125140
PMC7094793,31804810
PMC7094090,32226821
