license_url,license_text,cc_license,cc_license_type,open_gov,custom_permanent,custom_temporary,custom_other,unknown
CC-BY 4.0,"Open Access . This article is distributed under the terms of the Creative Commons Attribution License ( CC-BY 4.0 uri http://creativecommons.org/licenses/by/4.0/ ), which permits any use, distribution and reproduction in any medium, provided the original author(s) and source are credited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
"Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0","This is an open-access article distributed under the terms of the
 Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/ 
(CCBY-NC-ND), where it is permissible to download and share the work
provided it is properly cited. The work cannot be changed in any way or used
commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
"Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0","This is an open-access article distributed under the terms of the
 Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/ 
(CCBY-NC-ND), where it is permissible to download and share the work,
provided it is properly cited. The work cannot be changed in any way or used
commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
"Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0
(CCBY-NC-ND)","This is an open-access article distributed under the terms of the
 Creative
Commons Attribution-Non Commercial-No Derivatives License 4.0
(CCBY-NC-ND) uri http://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share
the work provided it is properly cited. The work cannot be changed in any
way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
"Creative Commons
Attribution license","This is an open-access article distributed under the terms of the  Creative Commons
Attribution license uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"Circulation  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"Circulation Research  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits use, distribution, and reproduction in any medium, so long as the resultant use is  not  for commercial advantage and provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri http://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.  http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CC BY),This open access article is distributed under  Creative Commons Attribution License 4.0 (CC BY) uri http://creativecommons.org/licenses/by/4.0/ .,TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CCBY),"This is an open-access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CCBY),"This is an open access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-NoDerivatives License 4.0,"This is an open access article distributed under the  Creative Commons Attribution-NoDerivatives License 4.0 uri http://creativecommons.org/licenses/by-nd/4.0/ , which allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author.  http://creativecommons.org/licenses/by-nd/4.0/ uri http://creativecommons.org/licenses/by-nd/4.0/",TRUE,CC-BY-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
