collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
AAAS,182,173,173,NA,NA,NA,8,1
ACP,300,NA,NA,NA,300,NA,NA,NA
ACS,789,84,38,NA,NA,675,26,4
AOSIS,200,200,200,NA,NA,NA,NA,NA
ASME,22,NA,NA,NA,22,NA,NA,NA
BMJ,2073,1535,269,NA,NA,523,NA,15
CUP,2254,1726,1715,NA,518,3,NA,7
ELS,77218,4962,1087,NA,57,70842,22,1335
IEEE,79,67,67,NA,NA,NA,NA,12
IOP,42,NA,NA,NA,NA,42,NA,NA
JMIR,44,44,44,NA,NA,NA,NA,NA
KARGER,592,95,5,NA,428,NA,NA,69
NEJM,271,NA,NA,NA,182,NA,NA,89
OUP,11369,2931,880,210,4005,115,3961,147
RS,228,1,1,NA,221,NA,NA,6
SAGE,899,889,691,NA,1,NA,NA,9
SN,69044,21819,21073,1,NA,44406,18,2800
TF,858,80,34,NA,706,NA,2,70
THIEME,357,57,2,NA,298,NA,NA,2
UTORONTO,24,NA,NA,NA,24,NA,NA,NA
WILEY,18645,2851,1492,NA,171,14985,148,490
WK,2284,400,90,7,1856,NA,1,20
