PMC Public Health Emergency collection,number of papers (2021-11-01),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
AAAS,182,173,173,-,-,-,8,1
American College of Physicians,300,-,-,-,300,-,-,-
ACS,789,84,38,-,-,675,26,4
AOSIS,200,200,200,-,-,-,-,-
ASME,22,-,-,-,22,-,-,-
BMJ,2073,1535,269,-,-,523,-,15
Cambridge University Press,2254,1726,1715,-,518,3,-,7
Elsevier,77218,4962,1087,-,57,70842,22,1335
IEEE,79,67,67,-,-,-,-,12
IOP,42,-,-,-,-,42,-,-
JMIR,44,44,44,-,-,-,-,-
Karger,592,95,5,-,428,-,-,69
NEJM,271,-,-,-,182,-,-,89
Oxford University Press,11369,2931,880,210,4005,115,3961,147
Radiological Society,228,1,1,-,221,-,-,6
Sage,899,889,691,-,1,-,-,9
Springer Nature,67989,21409,20672,1,-,43804,18,2757
Taylor & Francis,858,80,34,-,706,-,2,70
Thieme,357,57,2,-,298,-,-,2
University of Toronto Press,24,-,-,-,24,-,-,-
Wiley,18645,2851,1492,-,171,14985,148,490
Wolters Kluwer,2284,400,90,7,1856,-,1,20
