PMC Public Health Emergency collection,number of papers (2022-08-28),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
AAAS,262,249,249,-,-,-,9,4
American College of Physicians,351,-,-,-,351,-,-,-
ACS,1151,162,70,-,-,956,28,5
AOSIS,258,258,258,-,-,-,-,-
ASME,22,-,-,-,16,-,-,6
BMJ,3152,2512,456,-,-,621,-,19
Cambridge University Press,2702,1912,1891,10,762,2,-,16
Elsevier,102677,8306,2107,-,82,92750,17,1522
IEEE,433,256,237,-,-,-,163,14
IOP,42,-,-,-,-,42,-,-
JMIR,90,90,90,-,-,-,-,-
Karger,811,163,12,-,548,-,-,100
NEJM,380,-,-,-,225,-,-,155
Oxford University Press,16574,5090,2417,369,3942,114,6867,192
Radiological Society,249,2,2,-,241,-,-,6
Sage,2372,1323,817,-,958,14,-,77
Springer Nature,100772,36006,34924,1,-,60925,8,3832
Taylor & Francis,967,99,34,-,745,-,2,121
Thieme,366,57,2,-,307,-,-,2
University of Toronto Press,42,-,-,-,42,-,-,-
Wiley,26200,5537,2762,-,171,19737,186,569
Wolters Kluwer,3416,671,149,13,2707,-,1,24
