id,license_url,license_text,cc_license,cc_license_type,open_gov,custom_permanent,custom_temporary,custom_other,unknown
1,(http://creativecommons.org/licenses/by-nc-nd/4.0/,"This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivatives License  (http://creativecommons.org/licenses/by-nc-nd/4.0/ uri https://creativecommons.org/licenses/by-nc-nd/4.0/ ), which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited, and is not altered, transformed, or built upon in any way.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
2,ACS COVID-19 subset,This article is made available via the  ACS COVID-19 subset uri https://pubs.acs.org/page/vi/chemistry_coronavirus_research  for unrestricted RESEARCH re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
3,CC-BY 4.0,"Open Access . This article is distributed under the terms of the Creative Commons Attribution License ( CC-BY 4.0 uri http://creativecommons.org/licenses/by/4.0/ ), which permits any use, distribution and reproduction in any medium, provided the original author(s) and source are credited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
4,CC-BY 4.0,"Open Access . This article is distributed under the terms of the Creative Commons Attribution License ( CC-BY 4.0 uri https://creativecommons.org/licenses/by/4.0/ ), which permits any use, distribution and reproduction in any medium, provided the original author(s) and source are credited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
5,certain conditions,"This document may be redistributed and reused, subject to  certain conditions uri http://www.elsevier.com/wps/find/authorsview.authors/supplementalterms1.0 .",FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
6,Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the Creative  Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
7,Creative Commons Attribution,"Arteriosclerosis, Thrombosis, and Vascular Biology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
8,Creative Commons Attribution,"Arteriosclerosis, Thrombosis, and Vascular Biology yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
9,Creative Commons Attribution,"Circulation  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
10,Creative Commons Attribution,"Circulation Research  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
11,Creative Commons Attribution,"Circulation Research yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
