collection,journal,pmcid,no_pmid,%
Springer Nature,NA,9182,8516,92.7
Elsevier,NA,3819,3374,88.3
Wiley,NA,1136,1076,94.7
Elsevier,Chest,1101,694,63
Oxford University Press,Open Forum Infect Dis,793,443,55.9
Springer Nature,Computational Science – ICCS 2020,351,351,100
Oxford University Press,Br J Surg,612,304,49.7
Elsevier,Ann Oncol,346,292,84.4
Elsevier,Hematol Transfus Cell Ther,326,288,88.3
Oxford University Press,NA,274,262,95.6
Elsevier,J Am Coll Cardiol,412,261,63.3
Elsevier,J Neurol Sci,363,253,69.7
Elsevier,Ann Emerg Med,377,240,63.7
Elsevier,Blood,277,184,66.4
Springer Nature,Information Processing and Management of Uncertainty in Knowledge-Based Systems,176,176,100
Elsevier,Gastroenterology,448,168,37.5
Elsevier,J Clin Virol,741,168,22.7
Elsevier,Med Mal Infect,215,164,76.3
Oxford University Press,J Endocr Soc,170,151,88.8
Elsevier,Value Health,174,147,84.5
Elsevier,J Am Acad Child Adolesc Psychiatry,161,145,90.1
Springer Nature,Advances in Information Retrieval,144,144,100
Wiley,FASEB J,187,143,76.5
Oxford University Press,Nephrol Dial Transplant,199,142,71.4
Oxford University Press,Innov Aging,141,137,97.2
Springer Nature,Advances in Knowledge Discovery and Data Mining,135,135,100
Elsevier,Lancet Infect Dis,863,134,15.5
Oxford University Press,Sleep,141,125,88.7
Springer Nature,Artificial Intelligence in Education,124,124,100
Elsevier,Virus Res,702,117,16.7
Oxford University Press,Eur J Public Health,178,116,65.2
Elsevier,Int J Infect Dis,1203,115,9.6
Elsevier,Vaccine,806,115,14.3
Springer Nature,Tools and Algorithms for the Construction and Analysis of Systems,116,115,99.1
Elsevier,Braz J Infect Dis,186,114,61.3
Elsevier,Fertil Steril,148,112,75.7
Elsevier,Int J Antimicrob Agents,278,111,39.9
Elsevier,J Cyst Fibros,152,110,72.4
Springer Nature,Nature,312,109,34.9
Elsevier,J Allergy Clin Immunol,330,105,31.8
Elsevier,Lancet,1508,105,7
Sage,NA,102,101,99
Elsevier,Am J Obstet Gynecol,270,95,35.2
Elsevier,Encyclopedia of Virology,94,94,100
Elsevier,Vet Microbiol,540,92,17
Oxford University Press,Curr Dev Nutr,95,90,94.7
Springer Nature,"Responsible Design, Implementation and Use of Information and Communication Technology",88,88,100
Elsevier,Kidney Int Rep,185,85,45.9
Elsevier,Biophys J,134,83,61.9
Elsevier,J Am Coll Surg,155,80,51.6
Oxford University Press,J Crohns Colitis,119,79,66.4
Elsevier,Infect Dis Now,128,78,60.9
Elsevier,Am J Kidney Dis,143,77,53.8
Springer Nature,Artificial Intelligence Applications and Innovations,76,76,100
Elsevier,Hum Pathol,93,75,80.6
Elsevier,J Heart Lung Transplant,127,75,59.1
Elsevier,J Thorac Oncol,115,75,65.2
Springer Nature,Anästhesie und Intensivmedizin für die Fachpflege,74,74,100
Wiley,Scand J Immunol,106,72,67.9
Oxford University Press,BJS Open,81,71,87.7
Thieme,NA,69,68,98.6
Karger,NA,68,67,98.5
Elsevier,Antiviral Res,444,66,14.9
Oxford University Press,Rheumatology (Oxford),140,66,47.1
Springer Nature,Computer Aided Verification,65,65,100
Springer Nature,Advances in Swarm Intelligence,64,64,100
Springer Nature,Lexikon der Infektionskrankheiten des Menschen,64,64,100
Springer Nature,Automated Reasoning,63,63,100
Elsevier,Virology,961,61,6.3
Springer Nature,Foundations of Software Science and Computation Structures,60,60,100
Springer Nature,Internist (Berl),138,59,42.8
Springer Nature,Pädiatrie,58,58,100
Elsevier,Nephrol Ther,67,56,83.6
Springer Nature,"Pädiatrische Gastroenterologie, Hepatologie und Ernährung",55,55,100
Oxford University Press,Clin Infect Dis,1230,52,4.2
Springer Nature,Fundamental Approaches to Software Engineering,51,51,100
Springer Nature,Programming Languages and Systems,51,51,100
Elsevier,Am J Infect Control,508,50,9.8
Springer Nature,Br Dent J,511,50,9.8
Elsevier,Arch Bronconeumol,233,49,21
Elsevier,Eur J Surg Oncol,76,49,64.5
Elsevier,J Neuroimmunol,188,49,26.1
Springer Nature,Mathematical Software – ICMS 2020,48,48,100
Wiley,Respirology,169,48,28.4
Elsevier,Ann Endocrinol (Paris),52,47,90.4
Elsevier,Int J Radiat Oncol Biol Phys,139,47,33.8
Wolters Kluwer,NA,58,46,79.3
Elsevier,International Encyclopedia of Public Health,44,44,100
Elsevier,Reference Module in Biomedical Sciences,44,44,100
Oxford University Press,Eur J Prev Cardiol,83,44,53
Oxford University Press,Neuro Oncol,53,44,83
Cambridge University Press,NA,46,42,91.3
Elsevier,Clin Nutr ESPEN,108,40,37
Elsevier,Heart Rhythm,69,40,58
Elsevier,J Minim Invasive Gynecol,77,40,51.9
Springer Nature,Image and Signal Processing,40,40,100
Springer Nature,The Impact of Digital Technologies on Public Health in Developed and Developing Countries,40,40,100
Elsevier,Arch Phys Med Rehabil,83,39,47
Elsevier,J Vasc Surg,138,39,28.3
Springer Nature,The Semantic Web,39,39,100
Wiley,Ultrasound Obstet Gynecol,73,39,53.4
Wiley,J Small Anim Pract,87,38,43.7
Springer Nature,Intensive Care Med,650,37,5.7
Springer Nature,Pediatr Res,216,37,17.1
Springer Nature,Rough Sets,37,37,100
Elsevier,Biotechnol Adv,57,36,63.2
Oxford University Press,Age Ageing,115,36,31.3
Oxford University Press,Hum Reprod,58,36,62.1
Springer Nature,Rigorous State-Based Methods,36,36,100
Springer Nature,Theory and Applications of Satisfiability Testing – SAT 2020,36,36,100
Wiley,Br J Dermatol,117,35,29.9
Springer Nature,Advanced Information Systems Engineering,34,34,100
Springer Nature,Beyond the Horizon of Computability,34,34,100
Elsevier,Endocr Pract,66,33,50
Elsevier,Infectious Diseases,33,33,100
Elsevier,Rev Epidemiol Sante Publique,44,33,75
Wiley,J Vet Intern Med,130,33,25.4
Elsevier,Clin Lymphoma Myeloma Leuk,49,32,65.3
Elsevier,Data Science for COVID-19,32,32,100
Elsevier,J Invest Dermatol,42,32,76.2
Elsevier,Lung Cancer,48,32,66.7
Elsevier,"Mandell, Douglas, and Bennett's Principles and Practice of Infectious Diseases",32,32,100
Oxford University Press,J Anim Sci,78,32,41
Springer Nature,Agile Processes in Software Engineering and Extreme Programming – Workshops,32,32,100
Elsevier,Eur Urol,99,31,31.3
Elsevier,J Acad Nutr Diet,46,31,67.4
Springer Nature,Combinatorial Algorithms,31,31,100
Springer Nature,Language and Automata Theory and Applications,31,31,100
Springer Nature,Pattern Recognition,31,31,100
Springer Nature,The New Common,31,31,100
ACS,Environ Sci Technol Lett,32,30,93.8
Cambridge University Press,Eur J Risk Regul,41,30,73.2
Elsevier,Laboratory Animal Medicine,30,30,100
Elsevier,Mol Genet Metab,41,30,73.2
Elsevier,Mol Ther,82,30,36.6
Elsevier,Prev Vet Med,118,30,25.4
Cambridge University Press,Can J Polit Sci,29,29,100
Elsevier,J Card Fail,67,29,43.3
Elsevier,Principles and Practice of Pediatric Infectious Diseases,29,29,100
Oxford University Press,Int J Epidemiol,97,29,29.9
Springer Nature,"Enterprise, Business-Process and Information Systems Modeling",29,29,100
Springer Nature,High Performance Computing,29,29,100
Elsevier,Adv Virus Res,132,28,21.2
Elsevier,Dig Liver Dis,132,28,21.2
Elsevier,"Ferrets, Rabbits, and Rodents",28,28,100
Oxford University Press,J Burn Care Res,44,28,63.6
Springer Nature,Ecohealth,112,28,25
Springer Nature,Indian Pediatr,234,28,12
Elsevier,Ann Dermatol Venereol,42,27,64.3
Elsevier,Eur Urol Open Sci,38,27,71.1
Elsevier,Heart Lung Circ,73,27,37
Sage,Am Behav Sci,27,27,100
Springer Nature,Allergo J,80,27,33.8
Springer Nature,Bone Marrow Transplant,186,27,14.5
Springer Nature,Information and Communication Technologies in Tourism 2021,27,27,100
Springer Nature,Nat Rev Microbiol,170,27,15.9
Wiley,Aust Vet J,91,27,29.7
Elsevier,AORN J,39,26,66.7
Elsevier,Clin Microbiol Infect,531,26,4.9
Elsevier,Int J Obstet Anesth,44,26,59.1
Elsevier,Mucosal Immunology,26,26,100
Elsevier,Radiother Oncol,110,26,23.6
Oxford University Press,Neurosurgery,100,26,26
Springer Nature,Medizinische Mikrobiologie und Infektiologie,26,26,100
Springer Nature,Natural Language Processing and Information Systems,26,26,100
BMJ,NA,25,25,100
Elsevier,Comp Immunol Microbiol Infect Dis,99,25,25.3
Oxford University Press,Eur Heart J Cardiovasc Imaging,54,25,46.3
